TABLE NAME	SYSTEM FIELD NAME	Count not null	# Missing	% Missing	Unique Values	Used in Data For Model	Updated on Record Creation 	Field Description
ODS_SFBILL_TRANSACTION__C	SFBILL__ESCALATION__C	113	1585572	100	5	Y	N	"This field is filled out when an invoice / transaction has become an issue and needs further attention from sales, bad debt or management"
ODS_SFBILL_TRANSACTION__C	SFBILL__DELIVERYMETHOD__C	803	1584882	99.9	6	N	N	"The method that payment will be deilvered. (Ex: ACH, USPS, Wire Transfer) *Non required field so should not use."
ODS_SFBILL_TRANSACTION__C	SFBILL__CHECKAMOUNT__C	832	1584853	99.9	712	N	N	"could be check amount, payment amt.  Would not suggest using"
ODS_SFBILL_TRANSACTION__C	SFBILL__MAILDATE__C	1436	1584249	99.9	214	N	N	Only filled out when customer actually sends a check.  Not required
ODS_SFBILL_TRANSACTION__C	SFBILL__TRACKING__C	1593	1584092	99.9	1109	N	N	Not consistantly used to track packge or mail
ODS_SFBILL_TRANSACTION__C	SFBILL__DATESCHEDULEDWO__C	2372	1583313	99.9	250	N	N	Not consistantly used
ODS_SFBILL_TRANSACTION__C	SFBILL__CHECK__C	2447	1583238	99.8	2009	N	N	"could be the check number, wire ref number, or payment.  Would not suggest using"
ODS_SFBILL_TRANSACTION__C	SFBILL__SUSPENDEDDATE__C	5137	1580548	99.7	295	N	N	Only filled out if the customer is suspended for not paying on time
ODS_SFBILL_TRANSACTION__C	SFBILL__COMMENTS__C	5858	1579827	99.6	5328	N	N	Reference field used by collectors.  Comments get reflected on the invoice.  Might not be good to use.
ODS_SFBILL_TRANSACTION__C	SFBILL__FORECAST__C	8344	1577341	99.5	38	Y	N	"Collectors estimate on what will be collected.  Format = Region, Size, Month, Fiscal Year"
ODS_SFBILL_TRANSACTION__C	SFBILL__DATESCHEDULEDFDL__C	8419	1577266	99.5	250	N	N	Not consistantly used
ODS_SFBILL_TRANSACTION__C	SFBILL__PROMISEDATE__C	8633	1577052	99.5	278	N	N	filled out when customer provides a date they promise to pay by.  Will already be late if this is filled out.
